GENE,Annotation,CLDN01,CLDN02,CLDN03,CLDN04,CLDN05,CLDN06,CLDN07,CLDN08,CLDN09,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN18.1,CLDN18.2,CLDN19A,CLDN19B,CLDN20,CLDN22,CLDN23,CLDN24,
CLDN3,Tight junction,nan,nan,nan,nan,16.25147662,nan,nan,nan,10.38457345,nan,nan,nan,nan,nan,nan,nan,12.29972033,nan,15.10904382,nan,nan,nan,nan
CLDN7,Tight junction,nan,nan,nan,nan,8.205777215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EPCAM,Tight junction,nan,nan,nan,nan,nan,nan,nan,13.32423443,nan,nan,nan,nan,14.10658365,nan,nan,nan,nan,nan,17.92050236,nan,nan,nan,nan
LSR,Tight junction,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.70959171,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MARVELD3,Tight junction,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.739191081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MPP7,Tight junction,nan,nan,nan,8.327120787,nan,6.305182872,nan,nan,9.105229879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.14381331,nan,nan,6.963686858
OCLN,Tight junction,nan,nan,nan,nan,13.13170562,nan,nan,nan,nan,9.548077676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PATJ,Tight junction,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.858579626,nan,nan,nan,nan,nan,nan,nan
RAP2B,Tight junction,nan,nan,nan,nan,nan,5.848896246,nan,nan,nan,8.553874865,nan,10.08442471,7.116598727,7.860494911,nan,nan,nan,nan,nan,nan,nan,nan,nan
RAP2C,Tight junction,nan,nan,nan,nan,10.57802047,nan,nan,nan,nan,13.28989039,nan,9.512768361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
